Abbreviation,State,Level,Point,X,Y,Y2,Y3,Y4,Y5,Y6
WY,Wyoming,4,1,6,-1,-0.5,-0.1,2.6,3,4.6
WY,Wyoming,4,2,7,0,0.5,0.9,3.6,3.6,5.2
WY,Wyoming,4,3,7,2,2,2,4.7,4.7,6.3
WY,Wyoming,4,4,6,3,3,3,5.7,5.3,6.9
WY,Wyoming,4,5,5,2,2,2,4.7,4.7,6.3
WY,Wyoming,4,6,5,0,0.5,0.9,3.6,3.6,5.2
WV,West Virginia,5,1,15,-4,-3.5,-3.1,0.5,0.9,2.9
WV,West Virginia,5,2,16,-3,-2.5,-2.1,1.5,1.5,3.5
WV,West Virginia,5,3,16,-1,-1,-1,2.6,2.6,4.6
WV,West Virginia,5,4,15,0,0,0,3.6,3.2,5.2
WV,West Virginia,5,5,14,-1,-1,-1,2.6,2.6,4.6
WV,West Virginia,5,6,14,-3,-2.5,-2.1,1.5,1.5,3.5
WI,Wisconsin,3,1,11,2,2.5,2.9,4.7,5.1,6.3
WI,Wisconsin,3,2,12,3,3.5,3.9,5.7,5.7,6.9
WI,Wisconsin,3,3,12,5,5,5,6.8,6.8,8
WI,Wisconsin,3,4,11,6,6,6,7.8,7.4,8.6
WI,Wisconsin,3,5,10,5,5,5,6.8,6.8,8
WI,Wisconsin,3,6,10,3,3.5,3.9,5.7,5.7,6.9
WA,Washington,3,1,3,2,2.5,2.9,4.7,5.1,6.3
WA,Washington,3,2,4,3,3.5,3.9,5.7,5.7,6.9
WA,Washington,3,3,4,5,5,5,6.8,6.8,8
WA,Washington,3,4,3,6,6,6,7.8,7.4,8.6
WA,Washington,3,5,2,5,5,5,6.8,6.8,8
WA,Washington,3,6,2,3,3.5,3.9,5.7,5.7,6.9
VT,Vermont,2,1,20,5,5.5,5.9,6.8,7.2,8
VT,Vermont,2,2,21,6,6.5,6.9,7.8,7.8,8.6
VT,Vermont,2,3,21,8,8,8,8.9,8.9,9.7
VT,Vermont,2,4,20,9,9,9,9.9,9.5,10.3
VT,Vermont,2,5,19,8,8,8,8.9,8.9,9.7
VT,Vermont,2,6,19,6,6.5,6.9,7.8,7.8,8.6
VA,Virginia,6,1,16,-7,-6.5,-6.1,-1.6,-1.2,1.2
VA,Virginia,6,2,17,-6,-5.5,-5.1,-0.6,-0.6,1.8
VA,Virginia,6,3,17,-4,-4,-4,0.5,0.5,2.9
VA,Virginia,6,4,16,-3,-3,-3,1.5,1.1,3.5
VA,Virginia,6,5,15,-4,-4,-4,0.5,0.5,2.9
VA,Virginia,6,6,15,-6,-5.5,-5.1,-0.6,-0.6,1.8
UT,Utah,6,1,8,-7,-6.5,-6.1,-1.6,-1.2,1.2
UT,Utah,6,2,9,-6,-5.5,-5.1,-0.6,-0.6,1.8
UT,Utah,6,3,9,-4,-4,-4,0.5,0.5,2.9
UT,Utah,6,4,8,-3,-3,-3,1.5,1.1,3.5
UT,Utah,6,5,7,-4,-4,-4,0.5,0.5,2.9
UT,Utah,6,6,7,-6,-5.5,-5.1,-0.6,-0.6,1.8
TX,Texas,8,1,8,-13,-12.5,-12.1,-5.8,-5.4,-2.2
TX,Texas,8,2,9,-12,-11.5,-11.1,-4.8,-4.8,-1.6
TX,Texas,8,3,9,-10,-10,-10,-3.7,-3.7,-0.5
TX,Texas,8,4,8,-9,-9,-9,-2.7,-3.1,0.1
TX,Texas,8,5,7,-10,-10,-10,-3.7,-3.7,-0.5
TX,Texas,8,6,7,-12,-11.5,-11.1,-4.8,-4.8,-1.6
TN,Tennessee,6,1,14,-7,-6.5,-6.1,-1.6,-1.2,1.2
TN,Tennessee,6,2,15,-6,-5.5,-5.1,-0.6,-0.6,1.8
TN,Tennessee,6,3,15,-4,-4,-4,0.5,0.5,2.9
TN,Tennessee,6,4,14,-3,-3,-3,1.5,1.1,3.5
TN,Tennessee,6,5,13,-4,-4,-4,0.5,0.5,2.9
TN,Tennessee,6,6,13,-6,-5.5,-5.1,-0.6,-0.6,1.8
SD,South Dakota,4,1,8,-1,-0.5,-0.1,2.6,3,4.6
SD,South Dakota,4,2,9,0,0.5,0.9,3.6,3.6,5.2
SD,South Dakota,4,3,9,2,2,2,4.7,4.7,6.3
SD,South Dakota,4,4,8,3,3,3,5.7,5.3,6.9
SD,South Dakota,4,5,7,2,2,2,4.7,4.7,6.3
SD,South Dakota,4,6,7,0,0.5,0.9,3.6,3.6,5.2
SC,South Carolina,7,1,17,-10,-9.5,-9.1,-3.7,-3.3,-0.5
SC,South Carolina,7,2,18,-9,-8.5,-8.1,-2.7,-2.7,0.1
SC,South Carolina,7,3,18,-7,-7,-7,-1.6,-1.6,1.2
SC,South Carolina,7,4,17,-6,-6,-6,-0.6,-1,1.8
SC,South Carolina,7,5,16,-7,-7,-7,-1.6,-1.6,1.2
SC,South Carolina,7,6,16,-9,-8.5,-8.1,-2.7,-2.7,0.1
RI,Rhode Island,3,1,23,2,2.5,2.9,4.7,5.1,6.3
RI,Rhode Island,3,2,24,3,3.5,3.9,5.7,5.7,6.9
RI,Rhode Island,3,3,24,5,5,5,6.8,6.8,8
RI,Rhode Island,3,4,23,6,6,6,7.8,7.4,8.6
RI,Rhode Island,3,5,22,5,5,5,6.8,6.8,8
RI,Rhode Island,3,6,22,3,3.5,3.9,5.7,5.7,6.9
PA,Pennsylvania,4,1,18,-1,-0.5,-0.1,2.6,3,4.6
PA,Pennsylvania,4,2,19,0,0.5,0.9,3.6,3.6,5.2
PA,Pennsylvania,4,3,19,2,2,2,4.7,4.7,6.3
PA,Pennsylvania,4,4,18,3,3,3,5.7,5.3,6.9
PA,Pennsylvania,4,5,17,2,2,2,4.7,4.7,6.3
